method,RCP,scenario,year,AEF,CEF
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,Aggressive,2045,0.0002125478382948559,0.00026575442479411177
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,Aggressive,2046,0.0002079208632341972,0.00026222454931377906
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,Aggressive,2047,0.0002013926983212261,0.00025872525283367757
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,Aggressive,2048,0.00019379319884177835,0.0002551932700087762
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,Aggressive,2049,0.00018593159003465608,0.00025162013766855205
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,Aggressive,2050,0.00017851027977928527,0.00024803351213451626
"EF v3.1, climate change: fossil, global warming potential (GWP100)",RCP26,BAU,2026,0.39092814334310666,0.39092814334310666
"EF v3.1, climate change: fossil, global warming potential (GWP100)",RCP26,BAU,2027,0.21884998160104124,0.2762112310622397
"EF v3.1, climate change: fossil, global warming potential (GWP100)",RCP26,BAU,2028,0.15855081276869853,0.21739182282771854
"EF v3.1, climate change: fossil, global warming potential (GWP100)",RCP26,BAU,2029,0.1262187085222666,0.18094928680201378
"EF v3.1, climate change: fossil, global warming potential (GWP100)",RCP26,BAU,2030,0.10509151108267732,0.15571271203766207
"EF v3.1, climate change: fossil, global warming potential (GWP100)",RCP26,BAU,2031,0.09074334165228697,0.1372274621076062
"EF v3.1, climate change: fossil, global warming potential (GWP100)",RCP26,BAU,2032,0.07951122542908824,0.12291010879078874
"EF v3.1, climate change: fossil, global warming potential (GWP100)",RCP26,BAU,2033,0.07023409814415091,0.1113566510932074
"EF v3.1, climate change: fossil, global warming potential (GWP100)",RCP26,BAU,2034,0.06226429341057771,0.10173751512413587
"EF v3.1, climate change: fossil, global warming potential (GWP100)",RCP26,BAU,2035,0.05521037198327118,0.09353067374092813
"EF v3.1, climate change: fossil, global warming potential (GWP100)",RCP26,BAU,2036,0.045400027938292495,0.08599143951067947
"EF v3.1, climate change: fossil, global warming potential (GWP100)",RCP26,BAU,2037,0.0332938358305394,0.07885473331906015
"EF v3.1, climate change: fossil, global warming potential (GWP100)",RCP26,BAU,2038,0.0315654247935473,0.07321432563867154
